Umpan,Jam,Ikan
1,1,0
2,1,0
3,1,0
4,1,0
5,1,0
6,1,0
7,1,0
8,1,0
9,1,0
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1,1
18,1,1
19,1,1
20,1,1
1,2,0
2,2,0
3,2,0
4,2,0
5,2,0
6,2,0
7,2,0
8,2,0
9,2,0
10,2,1
11,2,1
12,2,1
13,2,1
14,2,1
15,2,1
16,2,2
17,2,2
18,2,2
19,2,2
20,2,2
1,3,0
2,3,0
3,3,0
4,3,0
5,3,0
6,3,0
7,3,0
8,3,1
9,3,1
10,3,1
11,3,1
12,3,1
13,3,1
14,3,2
15,3,2
16,3,2
17,3,2
18,3,3
19,3,3
20,3,3
1,4,0
2,4,0
3,4,0
4,4,0
5,4,0
6,4,0
7,4,1
8,4,1
9,4,1
10,4,1
11,4,1
12,4,1
13,4,2
14,4,2
15,4,2
16,4,2
17,4,3
18,4,3
19,4,4
20,4,4
